lon,lat,area,key
146.96,-41.60,Launceston,146.96|-41.60
146.97,-41.60,Launceston,146.97|-41.60
146.97,-41.59,Launceston,146.97|-41.59
146.98,-41.59,Launceston,146.98|-41.59
146.95,-41.58,Launceston,146.95|-41.58
146.96,-41.58,Launceston,146.96|-41.58
146.97,-41.58,Launceston,146.97|-41.58
146.98,-41.58,Launceston,146.98|-41.58
146.99,-41.58,Launceston,146.99|-41.58
147.01,-41.58,Launceston,147.01|-41.58
147.02,-41.58,Launceston,147.02|-41.58
146.95,-41.57,Launceston,146.95|-41.57
146.96,-41.57,Launceston,146.96|-41.57
146.97,-41.57,Launceston,146.97|-41.57
146.98,-41.57,Launceston,146.98|-41.57
146.99,-41.57,Launceston,146.99|-41.57
147.00,-41.57,Launceston,147.00|-41.57
147.01,-41.57,Launceston,147.01|-41.57
147.02,-41.57,Launceston,147.02|-41.57
147.03,-41.57,Launceston,147.03|-41.57
147.04,-41.57,Launceston,147.04|-41.57
147.05,-41.57,Launceston,147.05|-41.57
146.96,-41.56,Launceston,146.96|-41.56
146.97,-41.56,Launceston,146.97|-41.56
146.98,-41.56,Launceston,146.98|-41.56
146.99,-41.56,Launceston,146.99|-41.56
147.00,-41.56,Launceston,147.00|-41.56
147.01,-41.56,Launceston,147.01|-41.56
147.02,-41.56,Launceston,147.02|-41.56
147.03,-41.56,Launceston,147.03|-41.56
147.04,-41.56,Launceston,147.04|-41.56
147.05,-41.56,Launceston,147.05|-41.56
147.06,-41.56,Launceston,147.06|-41.56
146.97,-41.55,Launceston,146.97|-41.55
146.98,-41.55,Launceston,146.98|-41.55
146.99,-41.55,Launceston,146.99|-41.55
147.00,-41.55,Launceston,147.00|-41.55
147.01,-41.55,Launceston,147.01|-41.55
147.02,-41.55,Launceston,147.02|-41.55
147.03,-41.55,Launceston,147.03|-41.55
147.04,-41.55,Launceston,147.04|-41.55
147.05,-41.55,Launceston,147.05|-41.55
147.06,-41.55,Launceston,147.06|-41.55
147.07,-41.55,Launceston,147.07|-41.55
147.08,-41.55,Launceston,147.08|-41.55
146.97,-41.54,Launceston,146.97|-41.54
146.98,-41.54,Launceston,146.98|-41.54
146.99,-41.54,Launceston,146.99|-41.54
147.00,-41.54,Launceston,147.00|-41.54
147.01,-41.54,Launceston,147.01|-41.54
147.02,-41.54,Launceston,147.02|-41.54
147.03,-41.54,Launceston,147.03|-41.54
147.04,-41.54,Launceston,147.04|-41.54
147.05,-41.54,Launceston,147.05|-41.54
147.06,-41.54,Launceston,147.06|-41.54
147.07,-41.54,Launceston,147.07|-41.54
147.08,-41.54,Launceston,147.08|-41.54
147.09,-41.54,Launceston,147.09|-41.54
146.98,-41.53,Launceston,146.98|-41.53
146.99,-41.53,Launceston,146.99|-41.53
147.00,-41.53,Launceston,147.00|-41.53
147.01,-41.53,Launceston,147.01|-41.53
147.02,-41.53,Launceston,147.02|-41.53
147.03,-41.53,Launceston,147.03|-41.53
147.04,-41.53,Launceston,147.04|-41.53
147.05,-41.53,Launceston,147.05|-41.53
147.06,-41.53,Launceston,147.06|-41.53
147.07,-41.53,Launceston,147.07|-41.53
146.97,-41.52,Launceston,146.97|-41.52
146.98,-41.52,Launceston,146.98|-41.52
146.99,-41.52,Launceston,146.99|-41.52
147.00,-41.52,Launceston,147.00|-41.52
147.01,-41.52,Launceston,147.01|-41.52
147.02,-41.52,Launceston,147.02|-41.52
147.03,-41.52,Launceston,147.03|-41.52
147.04,-41.52,Launceston,147.04|-41.52
147.05,-41.52,Launceston,147.05|-41.52
147.06,-41.52,Launceston,147.06|-41.52
147.07,-41.52,Launceston,147.07|-41.52
146.95,-41.51,Launceston,146.95|-41.51
146.97,-41.51,Launceston,146.97|-41.51
146.98,-41.51,Launceston,146.98|-41.51
146.99,-41.51,Launceston,146.99|-41.51
147.00,-41.51,Launceston,147.00|-41.51
147.01,-41.51,Launceston,147.01|-41.51
147.02,-41.51,Launceston,147.02|-41.51
147.03,-41.51,Launceston,147.03|-41.51
147.04,-41.51,Launceston,147.04|-41.51
147.05,-41.51,Launceston,147.05|-41.51
147.06,-41.51,Launceston,147.06|-41.51
147.07,-41.51,Launceston,147.07|-41.51
147.08,-41.51,Launceston,147.08|-41.51
147.09,-41.51,Launceston,147.09|-41.51
146.95,-41.50,Launceston,146.95|-41.50
146.96,-41.50,Launceston,146.96|-41.50
146.97,-41.50,Launceston,146.97|-41.50
146.98,-41.50,Launceston,146.98|-41.50
146.99,-41.50,Launceston,146.99|-41.50
147.00,-41.50,Launceston,147.00|-41.50
147.01,-41.50,Launceston,147.01|-41.50
147.02,-41.50,Launceston,147.02|-41.50
147.03,-41.50,Launceston,147.03|-41.50
147.04,-41.50,Launceston,147.04|-41.50
147.05,-41.50,Launceston,147.05|-41.50
147.06,-41.50,Launceston,147.06|-41.50
147.07,-41.50,Launceston,147.07|-41.50
147.08,-41.50,Launceston,147.08|-41.50
147.09,-41.50,Launceston,147.09|-41.50
147.10,-41.50,Launceston,147.10|-41.50
147.11,-41.50,Launceston,147.11|-41.50
147.18,-41.50,Launceston,147.18|-41.50
147.19,-41.50,Launceston,147.19|-41.50
147.20,-41.50,Launceston,147.20|-41.50
147.21,-41.50,Launceston,147.21|-41.50
147.26,-41.50,Launceston,147.26|-41.50
146.94,-41.49,Launceston,146.94|-41.49
146.95,-41.49,Launceston,146.95|-41.49
146.96,-41.49,Launceston,146.96|-41.49
146.97,-41.49,Launceston,146.97|-41.49
146.98,-41.49,Launceston,146.98|-41.49
146.99,-41.49,Launceston,146.99|-41.49
147.00,-41.49,Launceston,147.00|-41.49
147.01,-41.49,Launceston,147.01|-41.49
147.02,-41.49,Launceston,147.02|-41.49
147.03,-41.49,Launceston,147.03|-41.49
147.04,-41.49,Launceston,147.04|-41.49
147.05,-41.49,Launceston,147.05|-41.49
147.06,-41.49,Launceston,147.06|-41.49
147.07,-41.49,Launceston,147.07|-41.49
147.08,-41.49,Launceston,147.08|-41.49
147.09,-41.49,Launceston,147.09|-41.49
147.10,-41.49,Launceston,147.10|-41.49
147.11,-41.49,Launceston,147.11|-41.49
147.12,-41.49,Launceston,147.12|-41.49
147.13,-41.49,Launceston,147.13|-41.49
147.14,-41.49,Launceston,147.14|-41.49
147.15,-41.49,Launceston,147.15|-41.49
147.16,-41.49,Launceston,147.16|-41.49
147.17,-41.49,Launceston,147.17|-41.49
147.18,-41.49,Launceston,147.18|-41.49
147.19,-41.49,Launceston,147.19|-41.49
147.20,-41.49,Launceston,147.20|-41.49
147.21,-41.49,Launceston,147.21|-41.49
147.22,-41.49,Launceston,147.22|-41.49
147.26,-41.49,Launceston,147.26|-41.49
147.27,-41.49,Launceston,147.27|-41.49
147.28,-41.49,Launceston,147.28|-41.49
147.29,-41.49,Launceston,147.29|-41.49
146.93,-41.48,Launceston,146.93|-41.48
146.94,-41.48,Launceston,146.94|-41.48
146.95,-41.48,Launceston,146.95|-41.48
146.96,-41.48,Launceston,146.96|-41.48
146.97,-41.48,Launceston,146.97|-41.48
146.98,-41.48,Launceston,146.98|-41.48
146.99,-41.48,Launceston,146.99|-41.48
147.00,-41.48,Launceston,147.00|-41.48
147.01,-41.48,Launceston,147.01|-41.48
147.02,-41.48,Launceston,147.02|-41.48
